,Snelheid,Omvang1,Positie1,Omvang2,Positie2,Relatie,Speed
181,3.0,60.0,-60.0,60.0,45.0,-60.0,3.838481966733243
182,3.0,60.0,0.0,45.0,60.0,15.0,2.6024161094374945
183,3.0,60.0,15.0,0.0,-90.0,45.0,4.162835827103686
184,3.0,60.0,15.0,45.0,30.0,0.0,2.3467849363532074
185,3.0,60.0,60.0,30.0,0.0,-60.0,2.6922270958537675
186,3.0,75.0,-75.0,0.0,-30.0,-75.0,2.816095522672547
187,3.0,75.0,-75.0,75.0,15.0,0.0,3.145737825840887
188,3.0,75.0,-60.0,15.0,15.0,-45.0,2.743829914711545
189,3.0,75.0,-45.0,15.0,60.0,-75.0,1.8719142508288091
190,3.0,75.0,-45.0,30.0,-60.0,-90.0,2.8766948047439014
191,3.0,75.0,-45.0,45.0,-30.0,15.0,2.0386367566429673
192,3.0,75.0,-45.0,45.0,0.0,30.0,4.744833904957481
193,3.0,75.0,-30.0,30.0,-30.0,-75.0,2.770837458408594
194,3.0,75.0,15.0,30.0,-15.0,-90.0,8.360370615252688
195,3.0,75.0,45.0,60.0,75.0,60.0,5.609357883626556
196,3.0,75.0,45.0,75.0,-90.0,15.0,3.643158911694837
197,3.0,75.0,60.0,45.0,0.0,-90.0,3.5416543279752255
198,4.0,0.0,-75.0,0.0,60.0,0.0,0.7349064585058595
199,4.0,0.0,-60.0,75.0,-60.0,-90.0,2.4894837217337846
200,4.0,0.0,-30.0,45.0,75.0,-45.0,3.3283850118537175
201,4.0,0.0,0.0,30.0,30.0,-15.0,2.372032734748946
202,4.0,0.0,15.0,45.0,-45.0,75.0,1.069745752675884
203,4.0,0.0,30.0,15.0,-60.0,-75.0,0.6440538116615062
204,4.0,0.0,45.0,45.0,-30.0,45.0,1.659075162973816
205,4.0,0.0,45.0,60.0,60.0,60.0,2.300544089063298
206,4.0,0.0,75.0,75.0,30.0,75.0,3.219017546243645
207,4.0,15.0,-90.0,15.0,-90.0,-30.0,2.341537091234645
208,4.0,15.0,-90.0,15.0,-15.0,-30.0,2.380809806602368
209,4.0,15.0,-90.0,15.0,0.0,-15.0,3.1101313216034625
210,4.0,15.0,-45.0,60.0,45.0,30.0,4.712379375510801
211,4.0,15.0,0.0,30.0,60.0,-75.0,1.9996991517454845
212,4.0,15.0,15.0,15.0,75.0,0.0,1.1982621440374657
213,4.0,15.0,30.0,15.0,45.0,30.0,2.5054393901562504
214,4.0,15.0,45.0,60.0,15.0,-90.0,2.8127559887928215
215,4.0,15.0,75.0,45.0,-60.0,-15.0,2.29007174597198
216,4.0,30.0,30.0,0.0,0.0,60.0,1.8948878871826014
217,4.0,30.0,30.0,75.0,0.0,-30.0,3.5151070484311875
218,4.0,30.0,45.0,30.0,-30.0,45.0,1.5643257904893755
219,4.0,30.0,60.0,75.0,30.0,45.0,3.946905589302375
220,4.0,30.0,75.0,60.0,-60.0,-75.0,3.8507636792915463
221,4.0,30.0,75.0,75.0,15.0,-90.0,2.6721125989820997
222,4.0,45.0,-90.0,45.0,-30.0,-90.0,4.282565134384327
223,4.0,45.0,-60.0,30.0,-45.0,-90.0,1.9069760627107712
224,4.0,45.0,-45.0,60.0,0.0,0.0,4.1571727147105175
225,4.0,45.0,45.0,15.0,30.0,-15.0,2.2645203937383362
226,4.0,45.0,45.0,30.0,45.0,-15.0,4.049108813964939
227,4.0,45.0,60.0,45.0,-30.0,30.0,3.3111977202373266
228,4.0,45.0,75.0,0.0,-90.0,-60.0,2.6235639017231427
229,4.0,45.0,75.0,60.0,-75.0,-90.0,2.9792962934361378
230,4.0,45.0,75.0,75.0,-30.0,45.0,2.3112777952484853
231,4.0,60.0,-90.0,75.0,-45.0,-30.0,4.004754045301475
