['12:03:07.831', '[6. 4.]']
['12:03:07.864', '[6. 4.]']
['12:03:07.885', '[6. 4.]']
['12:03:07.909', '[6. 4.]']
['12:03:07.935', '[6. 4.]']
['12:03:07.959', '[6. 5.]']
['12:03:07.987', '[6. 4.]']
['12:03:08.008', '[6. 4.]']
['12:03:08.032', '[6. 4.]']
['12:03:08.059', '[6. 5.]']
['12:03:08.083', '[6. 4.]']
['12:03:08.107', '[6. 5.]']
['12:03:08.134', '[6. 4.]']
['12:03:08.161', '[6. 4.]']
['12:03:08.184', '[7. 4.]']
['12:03:08.207', '[6. 4.]']
['12:03:08.232', '[6. 4.]']
['12:03:08.256', '[6. 4.]']
['12:03:08.282', '[6. 5.]']
['12:03:08.307', '[6. 4.]']
['12:03:08.334', '[6. 4.]']
['12:03:08.358', '[6. 4.]']
['12:03:08.384', '[6. 5.]']
['12:03:08.409', '[6. 4.]']
['12:03:08.433', '[6. 4.]']
['12:03:08.457', '[6. 4.]']
['12:03:08.482', '[6. 4.]']
['12:03:08.509', '[6. 4.]']
['12:03:08.534', '[6. 4.]']
['12:03:08.559', '[6. 4.]']
['12:03:08.583', '[6. 4.]']
['12:03:08.608', '[6. 4.]']
['12:03:08.631', '[6. 5.]']
['12:03:08.656', '[6. 4.]']
['12:03:08.684', '[6. 4.]']
['12:03:08.706', '[6. 4.]']
['12:03:08.733', '[6. 4.]']
['12:03:08.759', '[6. 4.]']
['12:03:08.786', '[6. 4.]']
['12:03:08.809', '[6. 4.]']
['12:03:08.832', '[6. 4.]']
['12:03:08.858', '[6. 5.]']
['12:03:08.882', '[6. 4.]']
['12:03:08.908', '[6. 4.]']
['12:03:08.931', '[6. 4.]']
['12:03:08.957', '[6. 4.]']
['12:03:08.982', '[6. 4.]']
['12:03:09.007', '[6. 4.]']
['12:03:09.043', '[6. 5.]']
['12:03:09.071', '[6. 4.]']
['12:03:09.093', '[6. 4.]']
['12:03:09.110', '[6. 4.]']
['12:03:09.143', '[6. 4.]']
['12:03:09.170', '[6. 4.]']
['12:03:09.193', '[6. 4.]']
['12:03:09.220', '[6. 4.]']
['12:03:09.237', '[6. 5.]']
['12:03:09.271', '[6. 4.]']
['12:03:09.299', '[6. 4.]']
['12:03:09.323', '[6. 4.]']
['12:03:09.347', '[6. 4.]']
['12:03:09.367', '[6. 4.]']
['12:03:09.386', '[6. 4.]']
['12:03:09.414', '[6. 4.]']
['12:03:09.443', '[6. 4.]']
['12:03:09.463', '[6. 4.]']
['12:03:09.498', '[6. 4.]']
['12:03:09.521', '[6. 4.]']
['12:03:09.545', '[6. 4.]']
['12:03:09.564', '[6. 4.]']
['12:03:09.588', '[6. 4.]']
['12:03:09.615', '[6. 4.]']
['12:03:09.633', '[6. 5.]']
['12:03:09.659', '[6. 4.]']
['12:03:09.696', '[6. 4.]']
['12:03:09.720', '[6. 4.]']
['12:03:09.739', '[5. 5.]']
['12:03:09.765', '[6. 4.]']
['12:03:09.785', '[6. 4.]']
['12:03:09.809', '[6. 4.]']
['12:03:09.841', '[6. 5.]']
['12:03:09.864', '[6. 4.]']
['12:03:09.887', '[6. 4.]']
['12:03:09.912', '[6. 4.]']
['12:03:09.935', '[6. 4.]']
['12:03:09.959', '[6. 4.]']
['12:03:09.986', '[6. 4.]']
['12:03:10.008', '[6. 4.]']
['12:03:10.035', '[6. 4.]']
['12:03:10.060', '[6. 5.]']
['12:03:10.083', '[6. 4.]']
['12:03:10.109', '[6. 4.]']
['12:03:10.133', '[6. 4.]']
['12:03:10.157', '[6. 4.]']
['12:03:10.184', '[6. 4.]']
