['timestamp', 'frequency', 'amplitudes', 'offsets', 'phase_biases']
['12:07:18.253', '0.0', '[0, 48]', '[-60, -41]', '[-39.0]']
['12:07:18.460', '0.0', '[48, 48]', '[-60, -41]', '[-39.0]']
['12:07:18.659', '0.0', '[48, 48]', '[20, -41]', '[-39.0]']
['12:07:18.860', '0.0', '[48, 79]', '[20, -41]', '[-39.0]']
['12:07:19.081', '0.0', '[48, 79]', '[20, -71]', '[-39.0]']
['12:07:19.280', '0.0', '[48, 79]', '[20, -71]', '[83.0]']
['12:07:27.463', '0.7', '[48, 79]', '[20, -71]', '[83.0]']
['12:07:27.678', '0.7', '[64, 79]', '[20, -71]', '[83.0]']
['12:07:27.874', '0.7', '[64, 79]', '[-90, -71]', '[83.0]']
['12:07:28.106', '0.7', '[64, 1]', '[-90, -71]', '[83.0]']
['12:07:28.306', '0.7', '[64, 1]', '[-90, -55]', '[83.0]']
['12:07:28.498', '0.7', '[64, 1]', '[-90, -55]', '[-39.0]']
['12:07:36.703', '0.6', '[64, 1]', '[-90, -55]', '[-39.0]']
['12:07:36.922', '0.6', '[32, 1]', '[-90, -55]', '[-39.0]']
['12:07:37.149', '0.6', '[32, 1]', '[-10, -55]', '[-39.0]']
['12:07:37.317', '0.6', '[32, 64]', '[-10, -55]', '[-39.0]']
['12:07:37.521', '0.6', '[32, 64]', '[-10, -39]', '[-39.0]']
['12:07:37.750', '0.6', '[32, 64]', '[-10, -39]', '[-54.0]']
['12:07:45.972', '0.0', '[32, 64]', '[-10, -39]', '[-54.0]']
['12:07:46.173', '0.0', '[16, 64]', '[-10, -39]', '[-54.0]']
['12:07:46.341', '0.0', '[16, 64]', '[38, -39]', '[-54.0]']
['12:07:46.545', '0.0', '[16, 79]', '[38, -39]', '[-54.0]']
['12:07:46.769', '0.0', '[16, 79]', '[38, 37]', '[-54.0]']
['12:07:46.971', '0.0', '[16, 79]', '[38, 37]', '[8.0]']
['12:07:55.168', '0.6', '[16, 79]', '[38, 37]', '[8.0]']
['12:07:55.368', '0.6', '[64, 79]', '[38, 37]', '[8.0]']
['12:07:55.570', '0.6', '[64, 79]', '[-11, 37]', '[8.0]']
['12:07:55.791', '0.6', '[64, 16]', '[-11, 37]', '[8.0]']
['12:07:55.993', '0.6', '[64, 16]', '[-11, -39]', '[8.0]']
['12:07:56.194', '0.6', '[64, 16]', '[-11, -39]', '[83.0]']
['12:08:04.395', '0.8', '[64, 16]', '[-11, -39]', '[83.0]']
['12:08:04.617', '0.8', '[0, 16]', '[-11, -39]', '[83.0]']
['12:08:04.817', '0.8', '[0, 16]', '[85, -39]', '[83.0]']
['12:08:05.215', '0.8', '[0, 16]', '[85, -83]', '[83.0]']
['12:08:05.419', '0.8', '[0, 16]', '[85, -83]', '[-39.0]']
['12:08:13.639', '0.6', '[0, 16]', '[85, -83]', '[-39.0]']
['12:08:13.837', '0.6', '[16, 16]', '[85, -83]', '[-39.0]']
['12:08:14.040', '0.6', '[16, 16]', '[36, -83]', '[-39.0]']
['12:08:14.240', '0.6', '[16, 63]', '[36, -83]', '[-39.0]']
['12:08:14.444', '0.6', '[16, 63]', '[36, 23]', '[-39.0]']
['12:08:14.682', '0.6', '[16, 63]', '[36, 23]', '[22.0]']
['12:08:22.860', '0.9', '[16, 63]', '[36, 23]', '[22.0]']
['12:08:23.063', '0.9', '[32, 63]', '[36, 23]', '[22.0]']
['12:08:23.268', '0.9', '[32, 63]', '[-29, 23]', '[22.0]']
['12:08:23.507', '0.9', '[32, 47]', '[-29, 23]', '[22.0]']
['12:08:23.703', '0.9', '[32, 47]', '[-29, -53]', '[22.0]']
['12:08:23.884', '0.9', '[32, 47]', '[-29, -53]', '[-83.0]']
['12:08:32.110', '0.4', '[32, 47]', '[-29, -53]', '[-83.0]']
['12:08:32.309', '0.4', '[0, 47]', '[-29, -53]', '[-83.0]']
['12:08:32.509', '0.4', '[0, 47]', '[-12, -53]', '[-83.0]']
['12:08:32.733', '0.4', '[0, 0]', '[-12, -53]', '[-83.0]']
['12:08:32.930', '0.4', '[0, 0]', '[-12, 9]', '[-83.0]']
['12:08:33.133', '0.4', '[0, 0]', '[-12, 9]', '[-53.0]']
['12:08:41.332', '0.6', '[0, 0]', '[-12, 9]', '[-53.0]']
['12:08:41.775', '0.6', '[0, 0]', '[-90, 9]', '[-53.0]']
['12:08:42.142', '0.6', '[0, 0]', '[-90, -22]', '[-53.0]']
['12:08:42.354', '0.6', '[0, 0]', '[-90, -22]', '[23.0]']
['12:08:50.759', '0.6', '[32, 0]', '[-90, -22]', '[23.0]']
