['timestamp', 'frequency', 'amplitudes', 'offsets', 'phase_biases']
['10:25:29.822', '0.05', '[44, 0]', '[9, -90]', '[-90.0]']
['10:25:29.824', '0.05', '[44, 0]', '[10, -90]', '[-90.0]']
['10:25:29.826', '0.05', '[44, 0]', '[11, -90]', '[-90.0]']
['10:25:29.835', '0.05', '[44, 0]', '[12, -90]', '[-90.0]']
['10:25:29.839', '0.05', '[44, 0]', '[13, -90]', '[-90.0]']
['10:25:29.843', '0.05', '[44, 0]', '[14, -90]', '[-90.0]']
['10:25:29.868', '0.05', '[44, 0]', '[16, -90]', '[-90.0]']
['10:25:29.922', '0.05', '[44, 0]', '[15, -90]', '[-90.0]']
['10:25:29.928', '0.05', '[44, 0]', '[14, -90]', '[-90.0]']
['10:25:29.940', '0.05', '[44, 0]', '[13, -90]', '[-90.0]']
['10:25:29.971', '0.05', '[44, 0]', '[11, -90]', '[-90.0]']
['10:25:32.961', '0.05', '[44, 0]', '[11, -90]', '[-72.0]']
['10:25:32.964', '0.05', '[44, 0]', '[11, -90]', '[-70.0]']
['10:25:32.969', '0.05', '[44, 0]', '[11, -90]', '[-69.0]']
['10:25:32.984', '0.05', '[44, 0]', '[11, -90]', '[-63.0]']
['10:25:32.986', '0.05', '[44, 0]', '[11, -90]', '[-61.0]']
['10:25:32.987', '0.05', '[44, 0]', '[11, -90]', '[-60.0]']
['10:25:32.990', '0.05', '[44, 0]', '[11, -90]', '[-59.0]']
['10:25:32.992', '0.05', '[44, 0]', '[11, -90]', '[-57.0]']
['10:25:32.993', '0.05', '[44, 0]', '[11, -90]', '[-56.0]']
['10:25:33.014', '0.05', '[44, 0]', '[11, -90]', '[-42.0]']
['10:25:33.016', '0.05', '[44, 0]', '[11, -90]', '[-40.0]']
['10:25:33.018', '0.05', '[44, 0]', '[11, -90]', '[-39.0]']
['10:25:33.034', '0.05', '[44, 0]', '[11, -90]', '[-29.0]']
['10:25:33.035', '0.05', '[44, 0]', '[11, -90]', '[-28.0]']
['10:25:33.036', '0.05', '[44, 0]', '[11, -90]', '[-23.0]']
['10:25:33.038', '0.05', '[44, 0]', '[11, -90]', '[-18.0]']
['10:25:33.039', '0.05', '[44, 0]', '[11, -90]', '[-16.0]']
['10:25:33.040', '0.05', '[44, 0]', '[11, -90]', '[-14.0]']
['10:25:33.041', '0.05', '[44, 0]', '[11, -90]', '[-12.0]']
['10:25:33.042', '0.05', '[44, 0]', '[11, -90]', '[-11.0]']
['10:25:33.043', '0.05', '[44, 0]', '[11, -90]', '[-6.0]']
['10:25:33.046', '0.05', '[44, 0]', '[11, -90]', '[-3.0]']
['10:25:33.442', '0.05', '[44, 0]', '[11, -90]', '[60.0]']
['10:25:33.760', '0.05', '[44, 0]', '[11, -90]', '[20.0]']
['10:25:35.134', '0.05', '[44, 0]', '[11, -90]', '[13.0]']
['10:25:35.136', '0.05', '[44, 0]', '[11, -90]', '[11.0]']
['10:25:35.137', '0.05', '[44, 0]', '[11, -90]', '[9.0]']
['10:25:35.140', '0.05', '[44, 0]', '[11, -90]', '[8.0]']
['10:25:35.141', '0.05', '[44, 0]', '[11, -90]', '[7.0]']
['10:25:35.143', '0.05', '[44, 0]', '[11, -90]', '[5.0]']
['10:25:35.144', '0.05', '[44, 0]', '[11, -90]', '[3.0]']
['10:25:35.161', '0.05', '[44, 0]', '[11, -90]', '[1.0]']
['10:25:35.161', '0.05', '[44, 0]', '[11, -90]', '[-14.0]']
['10:25:35.163', '0.05', '[44, 0]', '[11, -90]', '[-16.0]']
['10:25:35.163', '0.05', '[44, 0]', '[11, -90]', '[-18.0]']
['10:25:35.165', '0.05', '[44, 0]', '[11, -90]', '[-23.0]']
['10:25:35.166', '0.05', '[44, 0]', '[11, -90]', '[-25.0]']
['10:25:35.167', '0.05', '[44, 0]', '[11, -90]', '[-28.0]']
['10:25:35.169', '0.05', '[44, 0]', '[11, -90]', '[-30.0]']
['10:25:35.183', '0.05', '[44, 0]', '[11, -90]', '[-32.0]']
['10:25:35.184', '0.05', '[44, 0]', '[11, -90]', '[-34.0]']
['10:25:35.184', '0.05', '[44, 0]', '[11, -90]', '[-49.0]']
['10:25:35.185', '0.05', '[44, 0]', '[11, -90]', '[-51.0]']
['10:25:35.185', '0.05', '[44, 0]', '[11, -90]', '[-52.0]']
['10:25:35.565', '0.05', '[44, 0]', '[11, -90]', '[-54.0]']
['10:25:35.860', '0.05', '[44, 0]', '[11, -90]', '[-90.0]']
['10:25:36.691', '0.06', '[44, 0]', '[11, -90]', '[-90.0]']
['10:25:36.734', '0.07', '[44, 0]', '[11, -90]', '[-90.0]']
['10:25:36.758', '0.08', '[44, 0]', '[11, -90]', '[-90.0]']
['10:25:36.783', '0.09', '[44, 0]', '[11, -90]', '[-90.0]']
['10:25:36.785', '0.1', '[44, 0]', '[11, -90]', '[-90.0]']
['10:25:36.810', '0.12', '[44, 0]', '[11, -90]', '[-90.0]']
['10:25:36.812', '0.13', '[44, 0]', '[11, -90]', '[-90.0]']
['10:25:36.815', '0.14', '[44, 0]', '[11, -90]', '[-90.0]']
['10:25:36.834', '0.17', '[44, 0]', '[11, -90]', '[-90.0]']
['10:25:36.839', '0.18', '[44, 0]', '[11, -90]', '[-90.0]']
['10:25:41.260', '0.18', '[45, 0]', '[11, -90]', '[-90.0]']
['10:25:41.327', '0.18', '[46, 0]', '[11, -90]', '[-90.0]']
['10:25:41.334', '0.18', '[47, 0]', '[11, -90]', '[-90.0]']
['10:25:41.359', '0.18', '[48, 0]', '[11, -90]', '[-90.0]']
['10:25:41.359', '0.18', '[49, 0]', '[11, -90]', '[-90.0]']
['10:25:41.367', '0.18', '[50, 0]', '[11, -90]', '[-90.0]']
['10:25:41.385', '0.18', '[51, 0]', '[11, -90]', '[-90.0]']
['10:25:41.387', '0.18', '[52, 0]', '[11, -90]', '[-90.0]']
['10:25:41.409', '0.18', '[54, 0]', '[11, -90]', '[-90.0]']
['10:25:41.413', '0.18', '[55, 0]', '[11, -90]', '[-90.0]']
['10:25:41.441', '0.18', '[56, 0]', '[11, -90]', '[-90.0]']
['10:25:41.554', '0.18', '[57, 0]', '[11, -90]', '[-90.0]']
['10:25:41.554', '0.18', '[59, 0]', '[11, -90]', '[-90.0]']
['10:25:41.568', '0.18', '[60, 0]', '[11, -90]', '[-90.0]']
['10:25:41.569', '0.18', '[61, 0]', '[11, -90]', '[-90.0]']
['10:25:41.582', '0.18', '[66, 0]', '[11, -90]', '[-90.0]']
['10:25:41.584', '0.18', '[67, 0]', '[11, -90]', '[-90.0]']
['10:25:41.590', '0.18', '[68, 0]', '[11, -90]', '[-90.0]']
['10:25:41.609', '0.18', '[69, 0]', '[11, -90]', '[-90.0]']
['10:25:41.609', '0.18', '[72, 0]', '[11, -90]', '[-90.0]']
['10:25:41.615', '0.18', '[73, 0]', '[11, -90]', '[-90.0]']
['10:25:41.707', '0.18', '[72, 0]', '[11, -90]', '[-90.0]']
['10:25:41.754', '0.18', '[71, 0]', '[11, -90]', '[-90.0]']
['10:25:48.098', '0.0', '[71, 0]', '[11, -90]', '[-90.0]']
['10:25:48.098', '0.0', '[0, 0]', '[0.0, -90]', '[-90.0]']
['10:25:48.099', '0.0', '[0, 0]', '[0, -90]', '[-90.0]']
['10:25:48.099', '0.0', '[0, 0.0]', '[0, 0]', '[-90.0]']
['10:25:48.099', '0.0', '[0, 0.0]', '[0, 0]', '[0.0]']
['10:25:48.099', '0.0', '[0, 0.0]', '[0, 0]', '[0.0]']
