['timestamp', 'frequency', 'amplitudes', 'offsets', 'phase_biases']
['12:41:36.084', '0.3', '[16, 32]', '[-9, -69]', '[-25.0]']
['12:41:36.290', '0.3', '[16, 32]', '[-9, -69]', '[81.0]']
['12:41:44.490', '0.9', '[16, 32]', '[-9, -69]', '[81.0]']
['12:41:44.710', '0.9', '[0, 32]', '[-9, -69]', '[81.0]']
['12:41:44.915', '0.9', '[0, 32]', '[-40, -69]', '[81.0]']
['12:41:45.316', '0.9', '[0, 32]', '[-40, 9]', '[81.0]']
['12:41:45.515', '0.9', '[0, 32]', '[-40, 9]', '[34.0]']
['12:41:53.757', '0.6', '[0, 32]', '[-40, 9]', '[34.0]']
['12:41:54.153', '0.6', '[0, 32]', '[88, 9]', '[34.0]']
['12:41:54.355', '0.6', '[0, 16]', '[88, 9]', '[34.0]']
['12:41:54.544', '0.6', '[0, 16]', '[88, -82]', '[34.0]']
['12:42:03.000', '0.5', '[0, 16]', '[88, -82]', '[34.0]']
['12:42:03.167', '0.5', '[80, 16]', '[88, -82]', '[34.0]']
['12:42:03.602', '0.5', '[80, 32]', '[88, -82]', '[34.0]']
['12:42:03.801', '0.5', '[80, 32]', '[88, 70]', '[34.0]']
['12:42:04.002', '0.5', '[80, 32]', '[88, 70]', '[64.0]']
['12:42:12.191', '0.3', '[80, 32]', '[88, 70]', '[64.0]']
['12:42:12.425', '0.3', '[64, 32]', '[88, 70]', '[64.0]']
['12:42:12.625', '0.3', '[64, 32]', '[-73, 70]', '[64.0]']
['12:42:12.809', '0.3', '[64, 47]', '[-73, 70]', '[64.0]']
['12:42:13.014', '0.3', '[64, 47]', '[-73, 9]', '[64.0]']
['12:42:13.217', '0.3', '[64, 47]', '[-73, 9]', '[-12.0]']
['12:42:21.471', '0.4', '[64, 47]', '[-73, 9]', '[-12.0]']
['12:42:21.845', '0.4', '[64, 47]', '[-56, 9]', '[-12.0]']
['12:42:22.071', '0.4', '[64, 32]', '[-56, 9]', '[-12.0]']
['12:42:22.317', '0.4', '[64, 32]', '[-56, -82]', '[-12.0]']
['12:42:22.473', '0.4', '[64, 32]', '[-56, -82]', '[-42.0]']
['12:42:30.665', '0.2', '[64, 32]', '[-56, -82]', '[-42.0]']
['12:42:30.865', '0.2', '[32, 32]', '[-56, -82]', '[-42.0]']
['12:42:31.066', '0.2', '[32, 32]', '[-8, -82]', '[-42.0]']
['12:42:31.270', '0.2', '[32, 47]', '[-8, -82]', '[-42.0]']
['12:42:31.490', '0.2', '[32, 47]', '[-8, 10]', '[-42.0]']
['12:42:31.693', '0.2', '[32, 47]', '[-8, 10]', '[65.0]']
['12:42:39.887', '0.8', '[32, 47]', '[-8, 10]', '[65.0]']
['12:42:40.330', '0.8', '[32, 47]', '[88, 10]', '[65.0]']
['12:42:40.511', '0.8', '[32, 78]', '[88, 10]', '[65.0]']
['12:42:40.930', '0.8', '[32, 78]', '[88, 10]', '[-73.0]']
['12:42:49.130', '0.5', '[32, 78]', '[88, 10]', '[-73.0]']
['12:42:49.329', '0.5', '[80, 78]', '[88, 10]', '[-73.0]']
['12:42:49.533', '0.5', '[80, 78]', '[-56, 10]', '[-73.0]']
['12:42:49.736', '0.5', '[80, 15]', '[-56, 10]', '[-73.0]']
['12:42:50.145', '0.5', '[80, 15]', '[-56, 10]', '[65.0]']
['12:42:58.375', '0.2', '[80, 15]', '[-56, 10]', '[65.0]']
['12:42:58.595', '0.2', '[32, 15]', '[-56, 10]', '[65.0]']
['12:42:58.762', '0.2', '[32, 15]', '[-24, 10]', '[65.0]']
['12:42:58.972', '0.2', '[32, 62]', '[-24, 10]', '[65.0]']
['12:42:59.200', '0.2', '[32, 62]', '[-24, 70]', '[65.0]']
['12:42:59.402', '0.2', '[32, 62]', '[-24, 70]', '[-27.0]']
['12:43:07.592', '0.4', '[32, 62]', '[-24, 70]', '[-27.0]']
['12:43:07.817', '0.4', '[0, 62]', '[-24, 70]', '[-27.0]']
['12:43:07.995', '0.4', '[0, 62]', '[-39, 70]', '[-27.0]']
['12:43:08.198', '0.4', '[0, 77]', '[-39, 70]', '[-27.0]']
['12:43:08.419', '0.4', '[0, 77]', '[-39, -53]', '[-27.0]']
['12:43:08.646', '0.4', '[0, 77]', '[-39, -53]', '[-73.0]']
['12:43:16.839', '0.7', '[0, 77]', '[-39, -53]', '[-73.0]']
['12:43:17.039', '0.7', '[16, 77]', '[-39, -53]', '[-73.0]']
['12:43:17.240', '0.7', '[16, 77]', '[-23, -53]', '[-73.0]']
['12:43:17.436', '0.7', '[16, 30]', '[-23, -53]', '[-73.0]']
['12:43:17.639', '0.7', '[16, 30]', '[-23, -68]', '[-73.0]']
['12:43:17.844', '0.7', '[16, 30]', '[-23, -68]', '[19.0]']
['12:43:26.462', '0.7', '[16, 30]', '[25, -68]', '[19.0]']
['12:43:26.870', '0.7', '[16, 30]', '[25, 39]', '[19.0]']
['12:43:27.113', '0.7', '[16, 30]', '[25, 39]', '[5.0]']
['12:43:35.291', '0.6', '[16, 30]', '[25, 39]', '[5.0]']
['12:43:35.509', '0.6', '[64, 30]', '[25, 39]', '[5.0]']
['12:43:35.733', '0.6', '[64, 30]', '[57, 39]', '[5.0]']
['12:43:35.929', '0.6', '[64, 61]', '[57, 39]', '[5.0]']
['12:43:36.127', '0.6', '[64, 61]', '[57, -7]', '[5.0]']
['12:43:36.313', '0.6', '[64, 61]', '[57, -7]', '[-26.0]']
['12:43:44.529', '0.3', '[64, 61]', '[57, -7]', '[-26.0]']
['12:43:44.754', '0.3', '[0, 61]', '[57, -7]', '[-26.0]']
['12:43:44.947', '0.3', '[0, 61]', '[9, -7]', '[-26.0]']
['12:43:45.153', '0.3', '[0, 30]', '[9, -7]', '[-26.0]']
['12:43:45.352', '0.3', '[0, 30]', '[9, 84]', '[-26.0]']
['12:43:45.552', '0.3', '[0, 30]', '[9, 84]', '[-11.0]']
['12:43:53.773', '0.0', '[0, 30]', '[9, 84]', '[-11.0]']
['12:43:53.996', '0.0', '[80, 30]', '[9, 84]', '[-11.0]']
['12:43:54.158', '0.0', '[80, 30]', '[-39, 84]', '[-11.0]']
['12:43:54.361', '0.0', '[80, 77]', '[-39, 84]', '[-11.0]']
['12:43:54.572', '0.0', '[80, 77]', '[-39, 53]', '[-11.0]']
['12:43:54.774', '0.0', '[80, 77]', '[-39, 53]', '[19.0]']
['12:44:02.987', '0.1', '[80, 77]', '[-39, 53]', '[19.0]']
['12:44:03.187', '0.1', '[16, 77]', '[-39, 53]', '[19.0]']
['12:44:03.591', '0.1', '[16, 30]', '[-39, 53]', '[19.0]']
['12:44:03.812', '0.1', '[16, 30]', '[-39, -23]', '[19.0]']
['12:44:04.012', '0.1', '[16, 30]', '[-39, -23]', '[-86.0]']
['12:44:12.219', '0.2', '[16, 30]', '[-39, -23]', '[-86.0]']
['12:44:12.420', '0.2', '[0, 30]', '[-39, -23]', '[-86.0]']
['12:44:12.636', '0.2', '[0, 30]', '[41, -23]', '[-86.0]']
['12:44:12.837', '0.2', '[0, 77]', '[41, -23]', '[-86.0]']
['12:44:13.036', '0.2', '[0, 77]', '[41, -38]', '[-86.0]']
['12:44:13.235', '0.2', '[0, 77]', '[41, -38]', '[20.0]']
['12:44:21.480', '0.7', '[0, 77]', '[41, -38]', '[20.0]']
['12:44:21.662', '0.7', '[32, 77]', '[41, -38]', '[20.0]']
['12:44:21.861', '0.7', '[32, 77]', '[-8, -38]', '[20.0]']
['12:44:22.062', '0.7', '[32, 61]', '[-8, -38]', '[20.0]']
['12:44:22.313', '0.7', '[32, 61]', '[-8, -37]', '[20.0]']
['12:44:22.471', '0.7', '[32, 61]', '[-8, -37]', '[66.0]']
['12:44:30.705', '0.1', '[32, 61]', '[-8, -37]', '[66.0]']
