['12:02:37.282', '[6.]']
['12:02:37.310', '[6.]']
['12:02:37.332', '[6.]']
['12:02:37.358', '[5.]']
['12:02:37.384', '[6.]']
['12:02:37.410', '[6.]']
['12:02:37.433', '[6.]']
['12:02:37.460', '[6.]']
['12:02:37.482', '[6.]']
['12:02:37.510', '[6.]']
['12:02:37.530', '[6.]']
['12:02:37.560', '[6.]']
['12:02:37.582', '[6.]']
['12:02:37.611', '[6.]']
['12:02:37.635', '[6.]']
['12:02:37.677', '[6.]']
['12:02:37.701', '[6.]']
['12:02:37.723', '[6.]']
['12:02:37.742', '[6.]']
['12:02:37.773', '[6.]']
['12:02:37.811', '[6.]']
['12:02:37.838', '[6.]']
['12:02:37.855', '[6.]']
['12:02:37.876', '[6.]']
['12:02:37.898', '[6.]']
['12:02:37.922', '[6.]']
['12:02:37.942', '[6.]']
['12:02:37.982', '[6.]']
['12:02:38.016', '[6.]']
['12:02:38.049', '[6.]']
['12:02:38.076', '[6.]']
['12:02:38.101', '[6.]']
['12:02:38.123', '[6.]']
['12:02:38.145', '[6.]']
['12:02:38.164', '[6.]']
['12:02:38.182', '[6.]']
['12:02:38.204', '[6.]']
['12:02:38.227', '[6.]']
['12:02:38.244', '[6.]']
['12:02:38.265', '[6.]']
['12:02:38.292', '[6.]']
['12:02:38.318', '[6.]']
['12:02:38.337', '[6.]']
['12:02:38.366', '[6.]']
['12:02:38.394', '[7.]']
['12:02:38.415', '[6.]']
['12:02:38.443', '[6.]']
['12:02:38.462', '[6.]']
['12:02:38.483', '[6.]']
['12:02:38.513', '[6.]']
