Angles_0,Angles_1,freq,amp_1,amp_2,offset_1,offset_2,phase,Potentials_0,Potentials_1,Speed
-97.24,-68.91,0.9,63,63,-56,-5,-70.0,-88.,-55.,6.959447423090118
-12.82,62.66,0.3,64,17,36,19,-85.0,4.,75.,6.958526729259599
17.61,-52.21,0.6,80,65,-58,-83,-71.0,21.,-44.,6.955035854241768
42.99,124.35,0.7,63,63,42,69,-70.0,65.,92.,6.930030588390471
129.9,-55.43,0.9,63,32,70,-83,37.0,95.,-49.,6.917074212373403
-139.1,-29.91,0.4,80,79,-56,71,-52.0,-22.,13.,6.91363859063125
-60.03,-28.49,0.7,79,78,-90,35,43.0,-71.,-54.,6.912204160179806
-85.8,58.01,0.4,15,32,-54,39,-84.0,-71.,65.,6.906831325488758
-18.93,27.56,0.5,79,48,-9,-7,-7.0,-1.,38.,6.8955853108633445
117.72,-73.3,0.7,64,47,55,-49,-82.0,93.,-85.,6.892663057260444
-39.15,9.03,0.9,0,78,-40,48,-30.0,-62.,-11.,6.883494379449924
-32.12,54.39,0.6,79,48,56,85,-68.0,-22.,73.,6.882746458101176
-73.58,75.17,0.8,80,47,-59,65,-54.0,-31.,125.,6.8646337462119815
26.86,-75.46,0.3,79,33,39,-25,-80.0,43.,-34.,6.84906879076541
57.36,47.02,0.5,79,63,54,-10,-79.0,100.,78.,6.824843118591297
15.83,-37.2,0.8,32,78,28,-71,37.0,10.,-28.,6.81558064086301
74.76,42.68,0.7,79,1,24,48,37.0,121.,44.,6.803276121525645
56.1,92.04,0.8,64,63,37,68,7.0,43.,102.,6.774620553634624
105.72,31.94,0.9,47,78,85,-56,-64.0,94.,23.,6.770808886251193
-21.51,-25.01,0.7,15,62,-26,6,-65.0,-22.,-38.,6.752434748872826
123.12,-2.62,0.5,63,63,74,-50,-21.0,94.,-7.,6.74937673199337
-25.66,34.4,0.0,32,47,11,-37,-41.0,-15.,44.,6.739703811268785
39.02,-62.81,0.8,80,18,23,-51,-38.0,20.,-67.,6.7358846514395
57.3,79.14,0.8,64,63,37,68,7.0,104.,125.,6.7353001024716175
-43.56,-19.7,0.4,79,16,26,-41,-55.0,-50.,-14.,6.7341818665493065
-122.15,-89.06,0.9,64,31,-75,-56,56.0,-86.,-87.,6.730413294638461
126.95,86.13,0.8,48,32,88,73,-37.0,95.,75.,6.730271079170587
82.79,-4.06,0.7,48,64,72,-51,-51.0,126.,5.,6.727142475401298
-102.24,-84.14,0.8,63,79,-87,-73,22.0,-80.,-63.,6.716956482333638
