['12:03:06.585', '[-3. -4.]']
['12:03:06.606', '[-3. -4.]']
['12:03:06.633', '[-3. -4.]']
['12:03:06.658', '[-3. -4.]']
['12:03:06.683', '[-3. -4.]']
['12:03:06.708', '[-3. -4.]']
['12:03:06.735', '[-3. -4.]']
['12:03:06.757', '[-3. -4.]']
['12:03:06.782', '[-3. -4.]']
['12:03:06.806', '[-3. -4.]']
['12:03:06.833', '[-3. -4.]']
['12:03:06.857', '[-3. -4.]']
['12:03:06.883', '[-3. -4.]']
['12:03:06.908', '[-3. -4.]']
['12:03:06.934', '[-3. -4.]']
['12:03:06.959', '[-3. -4.]']
['12:03:06.983', '[-3. -4.]']
['12:03:07.007', '[-3. -4.]']
['12:03:07.036', '[-3. -4.]']
['12:03:07.114', '[-3. -4.]']
['12:03:07.128', '[-3. -4.]']
['12:03:07.142', '[-3. -4.]']
['12:03:07.156', '[-3. -4.]']
['12:03:07.167', '[-3. -4.]']
['12:03:07.184', '[-3. -4.]']
['12:03:07.209', '[-3. -4.]']
['12:03:07.234', '[-3. -4.]']
['12:03:07.264', '[-3. -4.]']
['12:03:07.285', '[-3. -4.]']
['12:03:07.308', '[-3. -4.]']
['12:03:07.334', '[-3. -4.]']
['12:03:07.358', '[-3. -4.]']
['12:03:07.382', '[-3. -4.]']
['12:03:07.407', '[-3. -4.]']
['12:03:07.434', '[-3. -4.]']
['12:03:07.459', '[-3. -4.]']
['12:03:07.482', '[-3. -4.]']
['12:03:07.511', '[-3. -4.]']
['12:03:07.541', '[-3. -4.]']
['12:03:07.577', '[-3. -4.]']
['12:03:07.601', '[-3. -4.]']
['12:03:07.635', '[-3. -4.]']
['12:03:07.654', '[-3. -4.]']
['12:03:07.670', '[-3. -4.]']
['12:03:07.686', '[-3. -4.]']
['12:03:07.746', '[-3. -4.]']
['12:03:07.760', '[-3. -4.]']
['12:03:07.777', '[-3. -4.]']
['12:03:07.794', '[-3. -4.]']
['12:03:07.808', '[-3. -4.]']
['12:03:07.831', '[-3. -4.]']
['12:03:07.864', '[-3. -4.]']
['12:03:07.885', '[-3. -4.]']
['12:03:07.909', '[-3. -4.]']
['12:03:07.935', '[-3. -4.]']
['12:03:07.959', '[-3. -4.]']
['12:03:07.987', '[-3. -4.]']
['12:03:08.008', '[-3. -4.]']
['12:03:08.032', '[-3. -4.]']
['12:03:08.059', '[-3. -4.]']
['12:03:08.083', '[-3. -4.]']
['12:03:08.107', '[-3. -4.]']
['12:03:08.134', '[-3. -4.]']
['12:03:08.161', '[-3. -4.]']
['12:03:08.184', '[-3. -4.]']
['12:03:08.207', '[-3. -4.]']
