Snelheid,Omvang1,Positie1,Omvang2,Positie2,Relatie,Speed
6.0,30.0,15.0,30.0,-60.0,30.0,0.7563944397058231
6.0,30.0,15.0,30.0,45.0,-90.0,0.4040152013720917
6.0,30.0,15.0,45.0,-75.0,-45.0,0.5334380171456164
6.0,30.0,15.0,45.0,-45.0,30.0,0.44347563994078004
6.0,30.0,15.0,45.0,-45.0,45.0,0.48784521636338907
6.0,30.0,30.0,30.0,-30.0,-45.0,0.4372077545360713
6.0,30.0,30.0,30.0,15.0,75.0,0.43559273741041343
6.0,30.0,30.0,30.0,60.0,30.0,0.11974249068474341
6.0,30.0,30.0,60.0,-15.0,-45.0,0.22156013604367145
6.0,30.0,45.0,30.0,-30.0,-60.0,0.534430710191319
6.0,30.0,45.0,45.0,-45.0,75.0,0.3946255145279811
6.0,30.0,45.0,45.0,-30.0,-60.0,0.1955015513894224
6.0,30.0,45.0,45.0,60.0,45.0,0.39953863137340706
6.0,30.0,60.0,30.0,60.0,-45.0,0.13660191663482224
6.0,45.0,-75.0,30.0,-75.0,60.0,0.5798666111081853
6.0,45.0,-75.0,60.0,-60.0,-45.0,0.9455745578037812
6.0,45.0,-75.0,60.0,-45.0,30.0,0.5321303262185276
6.0,45.0,-60.0,30.0,60.0,-45.0,0.287558383849612
6.0,45.0,-45.0,30.0,45.0,75.0,0.5008253648009621
6.0,45.0,-30.0,60.0,-75.0,-60.0,0.9454671419857297
6.0,45.0,-30.0,60.0,-60.0,30.0,0.527965970357087
6.0,45.0,-15.0,30.0,-15.0,75.0,1.6508295018751293
6.0,45.0,-15.0,45.0,-30.0,30.0,0.4557282834983443
6.0,45.0,-15.0,60.0,0.0,-90.0,0.3111078056092645
6.0,45.0,-15.0,60.0,0.0,-75.0,0.6883691010994886
6.0,45.0,0.0,45.0,-45.0,-30.0,0.4012536203643763
6.0,45.0,0.0,45.0,-15.0,60.0,2.739201996257735
6.0,45.0,0.0,60.0,0.0,-90.0,1.623028725237595
6.0,45.0,15.0,60.0,30.0,-90.0,0.39607012234273137
6.0,45.0,30.0,45.0,-60.0,45.0,0.418019040430739
6.0,45.0,45.0,45.0,15.0,60.0,0.604507534563869
6.0,45.0,45.0,60.0,30.0,45.0,0.32165581600589643
6.0,45.0,60.0,45.0,60.0,-45.0,0.9781788072823902
6.0,60.0,-60.0,45.0,60.0,-30.0,0.34263832699691693
6.0,60.0,-60.0,60.0,0.0,-30.0,0.6286518830950576
6.0,60.0,-45.0,45.0,45.0,75.0,0.5701224075766147
6.0,60.0,-45.0,60.0,15.0,-60.0,0.7380410649827902
6.0,60.0,-15.0,30.0,-60.0,75.0,0.7428326122645799
6.0,60.0,-15.0,60.0,-15.0,-60.0,0.5383095065022337
6.0,60.0,-15.0,60.0,15.0,-90.0,0.9420025410746152
6.0,60.0,-15.0,60.0,15.0,30.0,0.9068243497394902
6.0,60.0,-15.0,60.0,45.0,-75.0,0.34937839646016783
6.0,60.0,0.0,45.0,30.0,45.0,0.9106273925139644
6.0,60.0,0.0,45.0,60.0,30.0,0.8045549464992693
6.0,60.0,0.0,60.0,-30.0,60.0,0.4440538939195478
6.0,60.0,0.0,60.0,-15.0,-90.0,0.43523140374593927
6.0,60.0,0.0,60.0,0.0,-75.0,0.7829081531756342
6.0,60.0,15.0,30.0,-45.0,-30.0,0.12446051737371487
6.0,60.0,15.0,30.0,-45.0,60.0,0.15616678169036435
6.0,60.0,45.0,30.0,-60.0,45.0,0.5615525910358569
6.0,60.0,45.0,45.0,-75.0,60.0,0.6704218167222095
6.0,60.0,45.0,45.0,30.0,-30.0,0.1882304551146252
6.0,60.0,45.0,60.0,30.0,-90.0,2.4010329021002783
6.0,60.0,60.0,60.0,-15.0,75.0,0.764621661638496
7.0,30.0,-75.0,45.0,30.0,75.0,0.9938063936257361
7.0,30.0,-60.0,30.0,60.0,-30.0,0.5209905950345809
7.0,30.0,-60.0,45.0,15.0,75.0,0.6512411398933885
7.0,30.0,-60.0,45.0,30.0,60.0,0.49655209585357646
7.0,30.0,-60.0,60.0,-45.0,60.0,0.6171839207092739
7.0,30.0,-45.0,30.0,-45.0,-30.0,0.2106059116980961
7.0,30.0,-45.0,30.0,30.0,60.0,0.3713120661102332
7.0,30.0,-45.0,45.0,0.0,-75.0,0.5020904662094778
7.0,30.0,-30.0,30.0,60.0,-60.0,0.40185693653004123
7.0,30.0,-30.0,45.0,-75.0,60.0,0.3238948782559508
7.0,30.0,-30.0,60.0,-15.0,30.0,0.3615368989156535
7.0,30.0,-15.0,60.0,15.0,60.0,0.41333490492112684
7.0,30.0,-15.0,60.0,45.0,-75.0,0.4869532524592891
7.0,30.0,0.0,30.0,60.0,45.0,0.472463767397898
7.0,30.0,0.0,45.0,15.0,-45.0,0.7137455235808207
7.0,30.0,0.0,60.0,-60.0,75.0,0.3093377899032453
7.0,30.0,30.0,45.0,-75.0,60.0,0.9484921527120965
7.0,30.0,30.0,60.0,45.0,45.0,0.62952103509915
7.0,30.0,45.0,30.0,0.0,-45.0,0.49636033245554606
7.0,30.0,45.0,30.0,60.0,60.0,0.7620391490764163
7.0,30.0,45.0,60.0,-75.0,45.0,1.0037346062459969
7.0,45.0,-75.0,30.0,45.0,-45.0,1.1050936421213162
7.0,45.0,-75.0,30.0,60.0,-75.0,1.013465576149353
7.0,45.0,-75.0,60.0,30.0,-45.0,0.47401116662560333
7.0,45.0,-45.0,60.0,-45.0,-30.0,0.4387249701050582
7.0,45.0,-45.0,60.0,15.0,-90.0,0.7418139859578896
7.0,45.0,-30.0,45.0,45.0,-30.0,0.7513698947262393
7.0,45.0,-15.0,30.0,-45.0,45.0,0.23497167255317675
7.0,45.0,-15.0,30.0,0.0,-90.0,0.42924734774498097
7.0,45.0,0.0,30.0,30.0,-60.0,1.0340433512127458
7.0,45.0,0.0,45.0,45.0,-60.0,0.9820255377636298
7.0,45.0,0.0,60.0,-15.0,60.0,1.0417602535952142
7.0,45.0,15.0,60.0,-30.0,60.0,0.9181404998227487
7.0,45.0,30.0,45.0,-30.0,-60.0,0.6103646059667357
7.0,45.0,45.0,30.0,-15.0,75.0,0.8706521676529776
7.0,45.0,45.0,60.0,60.0,60.0,0.25008866083479564
7.0,45.0,60.0,30.0,30.0,30.0,0.8802753945662013
7.0,45.0,60.0,45.0,0.0,-45.0,0.3207089429649533
7.0,45.0,60.0,45.0,0.0,45.0,0.6110126474139208
7.0,45.0,60.0,60.0,-45.0,-45.0,0.7739434880821592
7.0,60.0,-75.0,60.0,-45.0,30.0,0.3403839368858905
7.0,60.0,-60.0,45.0,-75.0,60.0,1.0388135792631432
7.0,60.0,-60.0,45.0,60.0,-90.0,0.3554902406299502
7.0,60.0,-45.0,45.0,-15.0,-75.0,0.7946638799712926
7.0,60.0,-45.0,60.0,30.0,45.0,1.1137910480436288
7.0,60.0,-45.0,60.0,60.0,60.0,0.5422422831970861
7.0,60.0,-30.0,45.0,-15.0,-60.0,1.571107637810382
7.0,60.0,0.0,60.0,-60.0,-30.0,0.5729641459415141
7.0,60.0,0.0,60.0,-45.0,60.0,0.27760847641155384
7.0,60.0,15.0,60.0,-45.0,-30.0,0.8230277956444022
7.0,60.0,30.0,45.0,-30.0,-45.0,0.6345185159252957
7.0,60.0,30.0,45.0,45.0,-30.0,2.1521087903556233
7.0,60.0,30.0,60.0,45.0,30.0,0.3959696810727215
7.0,60.0,45.0,45.0,-15.0,-90.0,0.8120175279389108
7.0,60.0,45.0,45.0,30.0,-30.0,0.5900608425997539
7.0,60.0,60.0,30.0,45.0,60.0,0.49930016912467373
7.0,60.0,60.0,45.0,0.0,-45.0,0.258019540945795
8.0,30.0,-75.0,30.0,45.0,60.0,0.5445136988571754
8.0,30.0,-75.0,45.0,45.0,30.0,0.15107450714451995
8.0,30.0,-45.0,45.0,15.0,-60.0,0.18055108180728308
8.0,30.0,-30.0,30.0,0.0,60.0,0.3884109667918838
8.0,30.0,-15.0,30.0,30.0,45.0,0.20009119869951586
8.0,30.0,0.0,30.0,30.0,-60.0,0.556136375263285
8.0,30.0,0.0,60.0,30.0,-45.0,1.7695773678044109
8.0,30.0,0.0,60.0,45.0,45.0,1.5858108645431377
8.0,30.0,15.0,30.0,45.0,-45.0,0.729375042001204
8.0,30.0,15.0,45.0,30.0,-45.0,0.6000440965754315
8.0,30.0,15.0,45.0,60.0,45.0,1.7354628827467111
8.0,30.0,15.0,60.0,-60.0,-30.0,0.7981037668842929
8.0,30.0,45.0,30.0,0.0,-90.0,0.29576899357387365
8.0,30.0,60.0,30.0,-75.0,-60.0,0.4149194285697814
8.0,45.0,-75.0,45.0,15.0,-30.0,0.559444275728073
8.0,45.0,-60.0,45.0,-75.0,45.0,0.7013556564033318
8.0,45.0,-60.0,45.0,60.0,45.0,0.597675556509972
8.0,45.0,-60.0,60.0,-30.0,30.0,0.35188055582346167
8.0,45.0,-45.0,60.0,0.0,75.0,0.47914968744446945
8.0,45.0,-45.0,60.0,60.0,60.0,0.46152142919637534
8.0,45.0,-30.0,30.0,45.0,30.0,0.48802182231473684
8.0,45.0,-15.0,30.0,45.0,75.0,0.32201870324234133
8.0,45.0,-15.0,45.0,-15.0,30.0,0.3342906045759309
8.0,45.0,-15.0,45.0,15.0,-60.0,0.6058546572512645
8.0,45.0,0.0,45.0,-15.0,30.0,0.770265786934878
8.0,45.0,0.0,45.0,60.0,-45.0,0.4252860604244943
8.0,45.0,15.0,45.0,0.0,30.0,0.688560294655851
8.0,45.0,30.0,30.0,-45.0,-45.0,1.752541679810652
8.0,45.0,30.0,45.0,-45.0,-45.0,0.3991274112856236
8.0,45.0,30.0,45.0,45.0,60.0,0.9596605045438746
8.0,45.0,30.0,60.0,-45.0,60.0,0.5102351061318474
8.0,45.0,45.0,30.0,60.0,-75.0,0.7573874162717464
8.0,45.0,45.0,45.0,-60.0,-90.0,0.4838543610451058
8.0,45.0,45.0,45.0,-60.0,30.0,0.9823978810836625
8.0,45.0,45.0,60.0,30.0,75.0,0.5960399917805556
8.0,45.0,45.0,60.0,45.0,-90.0,0.553533988831344
8.0,45.0,60.0,30.0,-45.0,75.0,1.15477674042806
8.0,60.0,-60.0,30.0,-15.0,-90.0,0.6049775837635923
8.0,60.0,-45.0,30.0,45.0,60.0,0.18635649490029516
8.0,60.0,-15.0,30.0,-45.0,30.0,1.9953262229798367
8.0,60.0,-15.0,30.0,0.0,-75.0,0.5788950055963006
8.0,60.0,-15.0,45.0,-75.0,-90.0,0.8154414740427013
8.0,60.0,-15.0,60.0,-75.0,-75.0,0.4378512370092821
