,Snelheid,Omvang1,Positie1,Omvang2,Positie2,Relatie,Speed
65,1.0,15.0,0.0,75.0,-30.0,-30.0,2.336066073848428
66,1.0,15.0,60.0,60.0,0.0,30.0,1.0794348142001022
67,1.0,30.0,-75.0,60.0,0.0,45.0,2.7730726720587233
68,1.0,30.0,-60.0,0.0,60.0,-75.0,2.362921820334728
69,1.0,30.0,-45.0,30.0,75.0,-30.0,1.9889883081114959
70,1.0,30.0,-45.0,45.0,0.0,-90.0,2.3300188544196
71,1.0,30.0,-30.0,45.0,60.0,-15.0,1.8771493474729002
72,1.0,30.0,-15.0,0.0,-75.0,-15.0,1.1758055950278845
73,1.0,30.0,-15.0,75.0,45.0,-60.0,1.3938659104072038
74,1.0,30.0,0.0,60.0,-60.0,-60.0,2.70971712423262
75,1.0,30.0,60.0,75.0,45.0,-90.0,1.0324590619846308
76,1.0,30.0,75.0,15.0,15.0,-30.0,1.9493160224302173
77,1.0,30.0,75.0,30.0,-45.0,-60.0,1.5651030949797895
78,1.0,45.0,-90.0,45.0,30.0,-30.0,1.770996439345999
79,1.0,45.0,-75.0,30.0,-45.0,-45.0,2.018914888041762
80,1.0,45.0,-75.0,60.0,60.0,45.0,2.7177804794411133
81,1.0,45.0,-60.0,0.0,0.0,60.0,0.927159096671506
82,1.0,45.0,-30.0,60.0,0.0,-45.0,2.0391277382207713
83,1.0,45.0,15.0,75.0,75.0,-60.0,3.1779090644402253
84,1.0,45.0,45.0,0.0,15.0,60.0,1.2555454545545799
85,1.0,45.0,60.0,45.0,-60.0,-30.0,2.273395394582003
86,1.0,60.0,-75.0,75.0,-30.0,-75.0,2.055092770239147
87,1.0,60.0,-15.0,45.0,30.0,-90.0,1.9458296725648845
88,1.0,60.0,0.0,30.0,60.0,-30.0,1.6829292340230442
89,1.0,60.0,0.0,60.0,-15.0,-30.0,4.030139555143276
90,1.0,60.0,15.0,15.0,15.0,-90.0,2.323004133616721
91,1.0,60.0,30.0,15.0,-30.0,-45.0,1.3754534295008947
